image_id,Red_avg,Red_var,Green_avg,Green_var,Blue_avg,Blue_var,H_avg,H_var
A1_0x40,216.465087890625,1036.6970843672752,181.38433837890625,3085.2399488054216,210.04263305664062,1353.0475598638877,0.013533917724282389,0.0003777654715503049
A1_0x42,202.116943359375,1238.3174399733543,134.28408813476562,2592.0184455430135,183.33689880371094,1287.6015107927378,0.015796969761861967,0.0003895091193253755
A1_0x44,199.58998107910156,1113.0582181026693,122.24649047851562,1905.67380054947,177.482666015625,962.5466050505638,0.015549874931100504,0.0003530716645772653
A1_0x46,192.7814483642578,1160.1455487811472,108.20132446289062,1621.5894428258762,168.97593688964844,875.9565895458218,0.017683577128176774,0.00037938685099252493
A1_0x48,191.4339599609375,1232.698855265975,102.94670104980469,1506.5914432795253,165.2398681640625,853.7128490060568,0.017878166682379636,0.00042976491562377495
A1_0x50,189.28634643554688,1363.2157657286152,100.07449340820312,1556.0462085446343,163.71182250976562,922.265525511466,0.019169632465630627,0.0004822283891429605
A1_0x52,193.35304260253906,1281.4312843827065,107.66361999511719,1634.6792831846979,169.4792022705078,903.0272774153855,0.017888823199457247,0.0004446931113146768
A1_0x54,194.2439727783203,1342.1748370246496,110.21855163574219,1766.811045607319,171.398681640625,935.6624945998192,0.017899065082617734,0.0004719036057034627
A1_0x56,197.3260040283203,1160.8055713491049,115.70086669921875,1845.0562712214887,174.7836151123047,916.5093451829161,0.016308367591556874,0.00038862156560336614
A1_0x58,204.1123504638672,1460.726894585183,144.0104217529297,3894.5911236868706,188.86827087402344,1676.7599454110023,0.016363356745128968,0.0005221089979280263
A1_10x34,200.2449951171875,1106.5828912109137,129.2432403564453,2496.409965598723,180.31533813476562,1199.1761050736532,0.015873147098132135,0.00032016680714328107
A1_10x36,201.81838989257812,814.7912670364603,120.23797607421875,1747.7043231986463,176.72906494140625,838.874164994806,0.01330872033434517,0.00022839339067435533
A1_10x38,195.1372833251953,1048.715696135303,105.90534973144531,1632.4014264584985,167.85118103027344,822.0905390714761,0.01549368733465495,0.0003512494998938403
A1_10x40,196.2040557861328,880.9909387507942,104.57534790039062,1301.8905324107036,167.94219970703125,663.0802772901952,0.014480285076627412,0.0002775235589603913
A1_10x42,196.69305419921875,865.8198772929609,106.7906494140625,1607.2213700860739,169.1457977294922,789.7815536910202,0.014439029761246844,0.00025375911503140584
A1_10x44,196.9990234375,944.2307424545288,109.88945007324219,1545.7452097439673,171.39674377441406,795.8157846850809,0.015093371247672155,0.00028217215465970965
A1_10x46,194.930419921875,1285.2716783881187,115.22181701660156,2145.0790778507944,173.84584045410156,1101.0353931596037,0.017848990079062824,0.0004223729932800422
A1_10x48,202.72476196289062,1599.4431649213657,139.32688903808594,3515.202881715959,186.1480255126953,1693.4831085891929,0.016973554778521305,0.0005769055687278834
A1_10x50,214.74131774902344,1255.4499444549438,181.30422973632812,4080.4772074511275,209.92359924316406,1696.322059042519,0.01474846246326714,0.0004184603658824394
A1_10x60,200.43348693847656,1673.7567149286624,138.7766571044922,3882.5788258367684,186.1433563232422,1756.893404653063,0.018346041653467076,0.0005742965283981733
